TimeSinceStart,TrialNo,TrialID,ParticipantID,Landmark,DetailedView,Landmark1Name,Landmark2Name,Landmark3Name,Landmark4Name,Landmark5Name,Landmark6Name,Landmark1Pos,Landmark2Pos,Landmark3Pos,Landmark4Pos,Landmark5Pos,Landmark6Pos,Landmark1Rot,Landmark2Rot,Landmark3Rot,Landmark4Rot,Landmark5Rot,Landmark6Rot,Landmark1State,Landmark2State,Landmark3State,Landmark4State,Landmark5State,Landmark6State
0,1,Training,5,Shelves,Shelves,,,,
1.54,1,Training,5,Shelves,Shelves,MIN3,MAX2,MAX1,MIN2,MAX3,MIN1,(-0.5832305;0.8820246;0.6781211),(0.7614917;0.884122;0.6900156),(0.6639085;0.8280054;0.3717629),(0.005007818;0.884122;0.6900156),(-0.8358835;0.8412545;0.446902),(-0.04790398;0.8331533;0.4009581),(79.99997;0;0),(79.99997;0;0),(79.99997;0;0),(79.99997;0;0),(79.99997;0;0),(79.99997;0;0),,,highlighting;,highlighting;,,highlighting;
1.56,1,Training,5,Shelves,Shelves,MIN3,MAX2,MAX1,MIN2,MAX3,MIN1,(-0.5832305;0.8820246;0.6781211),(0.7614917;0.884122;0.6900156),(0.6639085;0.8280054;0.3717629),(0.005007818;0.884122;0.6900156),(-0.8358835;0.8412545;0.446902),(-0.04790398;0.8331533;0.4009581),(79.99997;0;0),(79.99997;0;0),(79.99997;0;0),(79.99997;0;0),(79.99997;0;0),(79.99997;0;0),,,highlighting;,highlighting;,,highlighting;
1.6,1,Training,5,Shelves,Shelves,MIN3,MAX2,MAX1,MIN2,MAX3,MIN1,(-0.5832305;0.8820246;0.6781211),(0.7614917;0.884122;0.6900156),(0.6639085;0.8280054;0.3717629),(0.005007818;0.884122;0.6900156),(-0.8358835;0.8412545;0.446902),(-0.04790398;0.8331533;0.4009581),(79.99997;0;0),(79.99997;0;0),(79.99997;0;0),(79.99997;0;0),(79.99997;0;0),(79.99997;0;0),,,highlighting;,highlighting;,,highlighting;
1.62,1,Training,5,Shelves,Shelves,MIN3,MAX2,MAX1,MIN2,MAX3,MIN1,(-0.5832305;0.8820246;0.6781211),(0.7614917;0.884122;0.6900156),(0.6639085;0.8280054;0.3717629),(0.005007818;0.884122;0.6900156),(-0.8358835;0.8412545;0.446902),(-0.04790398;0.8331533;0.4009581),(79.99997;0;0),(79.99997;0;0),(79.99997;0;0),(79.99997;0;0),(79.99997;0;0),(79.99997;0;0),,,highlighting;,highlighting;,,highlighting;
1.64,1,Training,5,Shelves,Shelves,MIN3,MAX2,MAX1,MIN2,MAX3,MIN1,(-0.5832305;0.8820246;0.6781211),(0.7614917;0.884122;0.6900156),(0.6639085;0.8280054;0.3717629),(0.005007818;0.884122;0.6900156),(-0.8358835;0.8412545;0.446902),(-0.04790398;0.8331533;0.4009581),(79.99997;0;0),(79.99997;0;0),(79.99997;0;0),(79.99997;0;0),(79.99997;0;0),(79.99997;0;0),,,highlighting;,highlighting;,,highlighting;
1.68,1,Training,5,Shelves,Shelves,MIN3,MAX2,MAX1,MIN2,MAX3,MIN1,(-0.5832305;0.8820246;0.6781211),(0.7614917;0.884122;0.6900156),(0.6639085;0.8280054;0.3717629),(0.005007818;0.884122;0.6900156),(-0.8358835;0.8412545;0.446902),(-0.04790398;0.8331533;0.4009581),(79.99997;0;0),(79.99997;0;0),(79.99997;0;0),(79.99997;0;0),(79.99997;0;0),(79.99997;0;0),,,highlighting;,highlighting;,,highlighting;
1.7,1,Training,5,Shelves,Shelves,MIN3,MAX2,MAX1,MIN2,MAX3,MIN1,(-0.5832305;0.8820246;0.6781211),(0.7614917;0.884122;0.6900156),(0.6639085;0.8280054;0.3717629),(0.005007818;0.884122;0.6900156),(-0.8358835;0.8412545;0.446902),(-0.04790398;0.8331533;0.4009581),(79.99997;0;0),(79.99997;0;0),(79.99997;0;0),(79.99997;0;0),(79.99997;0;0),(79.99997;0;0),,,highlighting;,highlighting;,,highlighting;
1.72,1,Training,5,Shelves,Shelves,MIN3,MAX2,MAX1,MIN2,MAX3,MIN1,(-0.5832305;0.8820246;0.6781211),(0.7614917;0.884122;0.6900156),(0.6639085;0.8280054;0.3717629),(0.005007818;0.884122;0.6900156),(-0.8358835;0.8412545;0.446902),(-0.04790398;0.8331533;0.4009581),(79.99997;0;0),(79.99997;0;0),(79.99997;0;0),(79.99997;0;0),(79.99997;0;0),(79.99997;0;0),,,highlighting;,highlighting;,,highlighting;
1.76,1,Training,5,Shelves,Shelves,MIN3,MAX2,MAX1,MIN2,MAX3,MIN1,(-0.5832305;0.8820246;0.6781211),(0.7614917;0.884122;0.6900156),(0.6639085;0.8280054;0.3717629),(0.005007818;0.884122;0.6900156),(-0.8358835;0.8412545;0.446902),(-0.04790398;0.8331533;0.4009581),(79.99997;0;0),(79.99997;0;0),(79.99997;0;0),(79.99997;0;0),(79.99997;0;0),(79.99997;0;0),,,highlighting;,highlighting;,,highlighting;
1.78,1,Training,5,Shelves,Shelves,MIN3,MAX2,MAX1,MIN2,MAX3,MIN1,(-0.5832305;0.8820246;0.6781211),(0.7614917;0.884122;0.6900156),(0.6639085;0.8280054;0.3717629),(0.005007818;0.884122;0.6900156),(-0.8358835;0.8412545;0.446902),(-0.04790398;0.8331533;0.4009581),(79.99997;0;0),(79.99997;0;0),(79.99997;0;0),(79.99997;0;0),(79.99997;0;0),(79.99997;0;0),,,highlighting;,highlighting;,,highlighting;
1.8,1,Training,5,Shelves,Shelves,MIN3,MAX2,MAX1,MIN2,MAX3,MIN1,(-0.5832305;0.8820246;0.6781211),(0.7614917;0.884122;0.6900156),(0.6639085;0.8280054;0.3717629),(0.005007818;0.884122;0.6900156),(-0.8358835;0.8412545;0.446902),(-0.04790398;0.8331533;0.4009581),(79.99997;0;0),(79.99997;0;0),(79.99997;0;0),(79.99997;0;0),(79.99997;0;0),(79.99997;0;0),,,highlighting;,highlighting;,,highlighting;
1.82,1,Training,5,Shelves,Shelves,MIN3,MAX2,MAX1,MIN2,MAX3,MIN1,(-0.5832305;0.8820246;0.6781211),(0.7614917;0.884122;0.6900156),(0.6639085;0.8280054;0.3717629),(0.005007818;0.884122;0.6900156),(-0.8358835;0.8412545;0.446902),(-0.04790398;0.8331533;0.4009581),(79.99997;0;0),(79.99997;0;0),(79.99997;0;0),(79.99997;0;0),(79.99997;0;0),(79.99997;0;0),,,highlighting;,highlighting;,,highlighting;
1.86,1,Training,5,Shelves,Shelves,MIN3,MAX2,MAX1,MIN2,MAX3,MIN1,(-0.5832305;0.8820246;0.6781211),(0.7614917;0.884122;0.6900156),(0.6639085;0.8280054;0.3717629),(0.005007818;0.884122;0.6900156),(-0.8358835;0.8412545;0.446902),(-0.04790398;0.8331533;0.4009581),(79.99997;0;0),(79.99997;0;0),(79.99997;0;0),(79.99997;0;0),(79.99997;0;0),(79.99997;0;0),,,highlighting;,highlighting;,,highlighting;
1.88,1,Training,5,Shelves,Shelves,MIN3,MAX2,MAX1,MIN2,MAX3,MIN1,(-0.5832305;0.8820246;0.6781211),(0.7614917;0.884122;0.6900156),(0.6639085;0.8280054;0.3717629),(0.005007818;0.884122;0.6900156),(-0.8358835;0.8412545;0.446902),(-0.04790398;0.8331533;0.4009581),(79.99997;0;0),(79.99997;0;0),(79.99997;0;0),(79.99997;0;0),(79.99997;0;0),(79.99997;0;0),,,highlighting;,highlighting;,,highlighting;
1.92,1,Training,5,Shelves,Shelves,MIN3,MAX2,MAX1,MIN2,MAX3,MIN1,(-0.5832305;0.8820246;0.6781211),(0.7614917;0.884122;0.6900156),(0.6639085;0.8280054;0.3717629),(0.005007818;0.884122;0.6900156),(-0.8358835;0.8412545;0.446902),(-0.04790398;0.8331533;0.4009581),(79.99997;0;0),(79.99997;0;0),(79.99997;0;0),(79.99997;0;0),(79.99997;0;0),(79.99997;0;0),,,highlighting;,highlighting;,,highlighting;
1.94,1,Training,5,Shelves,Shelves,MIN3,MAX2,MAX1,MIN2,MAX3,MIN1,(-0.5832305;0.8820246;0.6781211),(0.7614917;0.884122;0.6900156),(0.6639085;0.8280054;0.3717629),(0.005007818;0.884122;0.6900156),(-0.8358835;0.8412545;0.446902),(-0.04790398;0.8331533;0.4009581),(79.99997;0;0),(79.99997;0;0),(79.99997;0;0),(79.99997;0;0),(79.99997;0;0),(79.99997;0;0),,,highlighting;,highlighting;,,highlighting;
1.96,1,Training,5,Shelves,Shelves,MIN3,MAX2,MAX1,MIN2,MAX3,MIN1,(-0.5832305;0.8820246;0.6781211),(0.7614917;0.884122;0.6900156),(0.6639085;0.8280054;0.3717629),(0.005007818;0.884122;0.6900156),(-0.8358835;0.8412545;0.446902),(-0.04790398;0.8331533;0.4009581),(79.99997;0;0),(79.99997;0;0),(79.99997;0;0),(79.99997;0;0),(79.99997;0;0),(79.99997;0;0),,,highlighting;,highlighting;,,highlighting;
2,1,Training,5,Shelves,Shelves,MIN3,MAX2,MAX1,MIN2,MAX3,MIN1,(-0.5832305;0.8820246;0.6781211),(0.7614917;0.884122;0.6900156),(0.6639085;0.8280054;0.3717629),(0.005007818;0.884122;0.6900156),(-0.8358835;0.8412545;0.446902),(-0.04790398;0.8331533;0.4009581),(79.99997;0;0),(79.99997;0;0),(79.99997;0;0),(79.99997;0;0),(79.99997;0;0),(79.99997;0;0),,,highlighting;,highlighting;,,highlighting;
2.02,1,Training,5,Shelves,Shelves,MIN3,MAX2,MAX1,MIN2,MAX3,MIN1,(-0.5832305;0.8820246;0.6781211),(0.7614917;0.884122;0.6900156),(0.6639085;0.8280054;0.3717629),(0.005007818;0.884122;0.6900156),(-0.8358835;0.8412545;0.446902),(-0.04790398;0.8331533;0.4009581),(79.99997;0;0),(79.99997;0;0),(79.99997;0;0),(79.99997;0;0),(79.99997;0;0),(79.99997;0;0),,,highlighting;,highlighting;,,highlighting;
